pair_index,answer_json,test_json,point,raw_error,w0_error,w0.2_error,w0.4_error,w0.65_error,w0.8_error,w1_error,best_weight,best_error
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,left_eye,936.617,936.617,936.643,936.672,936.715,936.744,936.787,0,936.617
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,right_eye,922.519,922.519,922.223,921.932,921.572,921.359,921.078,1,921.078
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,nose_tip,931.814,931.814,931.814,931.814,931.814,931.814,931.814,0,931.814
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,mouth_left,954.101,954.101,954.248,954.396,954.58,954.69,954.838,0,954.101
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,mouth_right,933.547,933.547,933.681,933.815,933.983,934.083,934.217,0,933.547
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,mouth_center,934.93,934.93,934.414,933.899,933.255,932.868,932.353,1,932.353
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,chin,950.804,950.804,950.913,951.024,951.165,951.251,951.367,0,950.804
0,20260616_112730_748_landmarks.json,20260616_191345_733_landmarks.json,clothing_start,956.934,956.934,953.996,951.089,947.498,945.367,942.553,1,942.553
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,left_eye,977.345,977.345,977.273,977.204,977.123,977.077,977.019,1,977.019
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,right_eye,966.931,966.931,966.549,966.169,965.699,965.42,965.05,1,965.05
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,nose_tip,971,971,971,971,971,971,971,0,971
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,mouth_left,986.7,986.7,986.815,986.93,987.073,987.16,987.275,0,986.7
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,mouth_right,967.086,967.086,967.192,967.298,967.431,967.51,967.617,0,967.086
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,mouth_center,974.617,974.617,974.103,973.589,972.947,972.561,972.047,1,972.047
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,chin,968.216,968.216,968.171,968.127,968.075,968.044,968.005,1,968.005
1,20260616_130403_238_landmarks.json,20260616_191359_207_landmarks.json,clothing_start,957.478,957.478,955.694,953.944,951.803,950.543,948.894,1,948.894
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,left_eye,1015.87,1015.87,1016.014,1016.161,1016.35,1016.466,1016.624,0,1015.87
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,right_eye,1001.648,1001.648,1001.45,1001.256,1001.018,1000.877,1000.693,1,1000.693
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,nose_tip,1002.634,1002.634,1002.634,1002.634,1002.634,1002.634,1002.634,0,1002.634
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,mouth_left,1041.528,1041.528,1041.68,1041.833,1042.024,1042.139,1042.291,0,1041.528
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,mouth_right,1004.074,1004.074,1004.213,1004.352,1004.526,1004.63,1004.77,0,1004.074
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,mouth_center,1012.604,1012.604,1012.104,1011.603,1010.977,1010.602,1010.102,1,1010.102
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,chin,1011.445,1011.445,1011.52,1011.597,1011.695,1011.755,1011.836,0,1011.445
2,20260616_130423_154_landmarks.json,20260616_191410_398_landmarks.json,clothing_start,1030.375,1030.375,1027.581,1024.814,1021.397,1019.367,1016.687,1,1016.687
3,20260616_172144_621_landmarks.json,20260616_191424_236_landmarks.json,left_eye,941.531,941.531,941.451,941.375,941.285,941.233,941.168,1,941.168
3,20260616_172144_621_landmarks.json,20260616_191424_236_landmarks.json,right_eye,927.837,927.837,927.464,927.094,926.637,926.364,926.005,1,926.005
